Type of Criminal Offence;City;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4
Crimes of violence, total;Region Nordjylland;436;571;542;502;432;545;541;550;493;498;521;459;345;447;482;499;534;1044;583;496
Crimes of violence, total;Brønderslev;21;29;22;35;24;34;46;36;30;32;38;37;28;18;24;27;23;35;41;52
Crimes of violence, total;Frederikshavn;53;43;64;41;37;88;58;31;54;46;58;42;23;39;64;46;38;58;83;44
Crimes of violence, total;Hjørring;54;55;56;43;24;34;41;37;38;42;60;28;31;42;42;62;73;57;61;68
Crimes of violence, total;Jammerbugt;34;40;44;32;31;36;30;26;13;21;29;34;16;26;20;31;44;30;30;19
Crimes of violence, total;Læsø;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1
Crimes of violence, total;Mariagerfjord;22;40;41;50;42;41;48;74;73;54;54;56;39;40;39;53;62;44;48;40
Crimes of violence, total;Morsø;6;15;8;15;17;17;36;18;15;19;17;16;15;16;16;12;19;24;36;22
Crimes of violence, total;Rebild;15;7;13;14;8;14;14;19;10;13;7;21;5;12;8;11;9;17;11;12
Crimes of violence, total;Thisted;22;34;36;30;27;42;46;40;34;34;32;21;18;35;43;31;40;39;45;28
Crimes of violence, total;Vesthimmerlands;31;46;24;28;24;23;36;41;37;46;33;41;32;40;40;21;29;29;28;38
Crimes of violence, total;Aalborg;178;262;233;214;197;216;185;228;189;191;193;163;138;178;185;205;197;710;200;172
Crimes of violence, total;Unknown municipality;146;140;244;117;111;112;101;138;150;175;162;215;172;181;145;175;194;189;304;220
